artist,song,popularity,uri,url,features,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
Natasha Bedingfield,Unwritten,2,spotify:track:1D1nixOVWOxvNfWi0UD7VX,https://open.spotify.com/track/1D1nixOVWOxvNfWi0UD7VX,"[{'danceability': 0.706, 'energy': 0.8, 'key': 5, 'loudness': -6.333, 'mode': 1, 'speechiness': 0.0399, 'acousticness': 0.00584, 'instrumentalness': 0, 'liveness': 0.0822, 'valence': 0.629, 'tempo': 100.011, 'type': 'audio_features', 'id': '1D1nixOVWOxvNfWi0UD7VX', 'uri': 'spotify:track:1D1nixOVWOxvNfWi0UD7VX', 'track_href': 'https://api.spotify.com/v1/tracks/1D1nixOVWOxvNfWi0UD7VX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1D1nixOVWOxvNfWi0UD7VX', 'duration_ms': 259333, 'time_signature': 4}]",0.706,0.8,5,-6.333,1,0.0399,0.00584,0.0,0.0822,0.629,100.011,audio_features,1D1nixOVWOxvNfWi0UD7VX,https://api.spotify.com/v1/tracks/1D1nixOVWOxvNfWi0UD7VX,https://api.spotify.com/v1/audio-analysis/1D1nixOVWOxvNfWi0UD7VX,259333,4
Craig David,I Know You,0,spotify:track:34t13rSSZtr22CjcmroMmh,https://open.spotify.com/track/34t13rSSZtr22CjcmroMmh,"[{'danceability': 0.56, 'energy': 0.746, 'key': 9, 'loudness': -5.098, 'mode': 1, 'speechiness': 0.0894, 'acousticness': 0.151, 'instrumentalness': 0, 'liveness': 0.0834, 'valence': 0.259, 'tempo': 140.813, 'type': 'audio_features', 'id': '34t13rSSZtr22CjcmroMmh', 'uri': 'spotify:track:34t13rSSZtr22CjcmroMmh', 'track_href': 'https://api.spotify.com/v1/tracks/34t13rSSZtr22CjcmroMmh', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/34t13rSSZtr22CjcmroMmh', 'duration_ms': 214960, 'time_signature': 4}]",0.56,0.746,9,-5.098,1,0.0894,0.151,0.0,0.0834,0.259,140.813,audio_features,34t13rSSZtr22CjcmroMmh,https://api.spotify.com/v1/tracks/34t13rSSZtr22CjcmroMmh,https://api.spotify.com/v1/audio-analysis/34t13rSSZtr22CjcmroMmh,214960,4
Martin Garrix,In the Name of Love,82,spotify:track:23L5CiUhw2jV1OIMwthR3S,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S,"[{'danceability': 0.501, 'energy': 0.519, 'key': 4, 'loudness': -5.88, 'mode': 0, 'speechiness': 0.0409, 'acousticness': 0.109, 'instrumentalness': 0, 'liveness': 0.454, 'valence': 0.168, 'tempo': 133.99, 'type': 'audio_features', 'id': '23L5CiUhw2jV1OIMwthR3S', 'uri': 'spotify:track:23L5CiUhw2jV1OIMwthR3S', 'track_href': 'https://api.spotify.com/v1/tracks/23L5CiUhw2jV1OIMwthR3S', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/23L5CiUhw2jV1OIMwthR3S', 'duration_ms': 195707, 'time_signature': 4}]",0.501,0.519,4,-5.88,0,0.0409,0.109,0.0,0.454,0.168,133.99,audio_features,23L5CiUhw2jV1OIMwthR3S,https://api.spotify.com/v1/tracks/23L5CiUhw2jV1OIMwthR3S,https://api.spotify.com/v1/audio-analysis/23L5CiUhw2jV1OIMwthR3S,195707,4
Maino,All the Above (feat. T-Pain),60,spotify:track:1z667LebVh3DtYNrVJEao0,https://open.spotify.com/track/1z667LebVh3DtYNrVJEao0,"[{'danceability': 0.374, 'energy': 0.888, 'key': 8, 'loudness': -3.197, 'mode': 1, 'speechiness': 0.12, 'acousticness': 0.0762, 'instrumentalness': 0, 'liveness': 0.202, 'valence': 0.365, 'tempo': 148.828, 'type': 'audio_features', 'id': '1z667LebVh3DtYNrVJEao0', 'uri': 'spotify:track:1z667LebVh3DtYNrVJEao0', 'track_href': 'https://api.spotify.com/v1/tracks/1z667LebVh3DtYNrVJEao0', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1z667LebVh3DtYNrVJEao0', 'duration_ms': 319940, 'time_signature': 4}]",0.374,0.888,8,-3.197,1,0.12,0.0762,0.0,0.202,0.365,148.828,audio_features,1z667LebVh3DtYNrVJEao0,https://api.spotify.com/v1/tracks/1z667LebVh3DtYNrVJEao0,https://api.spotify.com/v1/audio-analysis/1z667LebVh3DtYNrVJEao0,319940,4
Brad Paisley,Crushin' It,49,spotify:track:3yMVUGqVK5iTTkA8kGChH2,https://open.spotify.com/track/3yMVUGqVK5iTTkA8kGChH2,"[{'danceability': 0.595, 'energy': 0.823, 'key': 2, 'loudness': -5.864, 'mode': 1, 'speechiness': 0.0483, 'acousticness': 0.0385, 'instrumentalness': 1.35e-06, 'liveness': 0.0984, 'valence': 0.745, 'tempo': 108.99, 'type': 'audio_features', 'id': '3yMVUGqVK5iTTkA8kGChH2', 'uri': 'spotify:track:3yMVUGqVK5iTTkA8kGChH2', 'track_href': 'https://api.spotify.com/v1/tracks/3yMVUGqVK5iTTkA8kGChH2', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3yMVUGqVK5iTTkA8kGChH2', 'duration_ms': 220147, 'time_signature': 4}]",0.595,0.823,2,-5.864,1,0.0483,0.0385,1.35e-06,0.0984,0.745,108.99,audio_features,3yMVUGqVK5iTTkA8kGChH2,https://api.spotify.com/v1/tracks/3yMVUGqVK5iTTkA8kGChH2,https://api.spotify.com/v1/audio-analysis/3yMVUGqVK5iTTkA8kGChH2,220147,4
GAWVI,God Speed,0,spotify:track:6yhzjotdCJl9QTfC9unFAr,https://open.spotify.com/track/6yhzjotdCJl9QTfC9unFAr,"[{'danceability': 0.78, 'energy': 0.714, 'key': 2, 'loudness': -7.116, 'mode': 1, 'speechiness': 0.22, 'acousticness': 0.00349, 'instrumentalness': 4.4e-05, 'liveness': 0.151, 'valence': 0.53, 'tempo': 150.044, 'type': 'audio_features', 'id': '6yhzjotdCJl9QTfC9unFAr', 'uri': 'spotify:track:6yhzjotdCJl9QTfC9unFAr', 'track_href': 'https://api.spotify.com/v1/tracks/6yhzjotdCJl9QTfC9unFAr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6yhzjotdCJl9QTfC9unFAr', 'duration_ms': 177219, 'time_signature': 4}]",0.78,0.714,2,-7.116,1,0.22,0.00349,4.4e-05,0.151,0.53,150.044,audio_features,6yhzjotdCJl9QTfC9unFAr,https://api.spotify.com/v1/tracks/6yhzjotdCJl9QTfC9unFAr,https://api.spotify.com/v1/audio-analysis/6yhzjotdCJl9QTfC9unFAr,177219,4
21 Savage,Bank Account,8,spotify:track:2fQrGHiQOvpL9UgPvtYy6G,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G,"[{'danceability': 0.884, 'energy': 0.347, 'key': 8, 'loudness': -8.227, 'mode': 0, 'speechiness': 0.35, 'acousticness': 0.015, 'instrumentalness': 7e-06, 'liveness': 0.0871, 'valence': 0.376, 'tempo': 75.016, 'type': 'audio_features', 'id': '2fQrGHiQOvpL9UgPvtYy6G', 'uri': 'spotify:track:2fQrGHiQOvpL9UgPvtYy6G', 'track_href': 'https://api.spotify.com/v1/tracks/2fQrGHiQOvpL9UgPvtYy6G', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2fQrGHiQOvpL9UgPvtYy6G', 'duration_ms': 220307, 'time_signature': 4}]",0.884,0.347,8,-8.227,0,0.35,0.015,7e-06,0.0871,0.376,75.016,audio_features,2fQrGHiQOvpL9UgPvtYy6G,https://api.spotify.com/v1/tracks/2fQrGHiQOvpL9UgPvtYy6G,https://api.spotify.com/v1/audio-analysis/2fQrGHiQOvpL9UgPvtYy6G,220307,4
Sheppard,Geronimo,66,spotify:track:19cL3SOKpwnwoKkII7U3Wh,https://open.spotify.com/track/19cL3SOKpwnwoKkII7U3Wh,"[{'danceability': 0.705, 'energy': 0.78, 'key': 7, 'loudness': -6.267, 'mode': 1, 'speechiness': 0.0805, 'acousticness': 0.456, 'instrumentalness': 0.00152, 'liveness': 0.115, 'valence': 0.457, 'tempo': 142.028, 'type': 'audio_features', 'id': '19cL3SOKpwnwoKkII7U3Wh', 'uri': 'spotify:track:19cL3SOKpwnwoKkII7U3Wh', 'track_href': 'https://api.spotify.com/v1/tracks/19cL3SOKpwnwoKkII7U3Wh', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/19cL3SOKpwnwoKkII7U3Wh', 'duration_ms': 218228, 'time_signature': 4}]",0.705,0.78,7,-6.267,1,0.0805,0.456,0.00152,0.115,0.457,142.028,audio_features,19cL3SOKpwnwoKkII7U3Wh,https://api.spotify.com/v1/tracks/19cL3SOKpwnwoKkII7U3Wh,https://api.spotify.com/v1/audio-analysis/19cL3SOKpwnwoKkII7U3Wh,218228,4
Taylor Swift,White Horse,44,spotify:track:5yKB8qcTSflDercM2PXwot,https://open.spotify.com/track/5yKB8qcTSflDercM2PXwot,"[{'danceability': 0.585, 'energy': 0.346, 'key': 0, 'loudness': -8.014, 'mode': 1, 'speechiness': 0.0256, 'acousticness': 0.302, 'instrumentalness': 0, 'liveness': 0.102, 'valence': 0.195, 'tempo': 92.564, 'type': 'audio_features', 'id': '5yKB8qcTSflDercM2PXwot', 'uri': 'spotify:track:5yKB8qcTSflDercM2PXwot', 'track_href': 'https://api.spotify.com/v1/tracks/5yKB8qcTSflDercM2PXwot', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5yKB8qcTSflDercM2PXwot', 'duration_ms': 234440, 'time_signature': 4}]",0.585,0.346,0,-8.014,1,0.0256,0.302,0.0,0.102,0.195,92.564,audio_features,5yKB8qcTSflDercM2PXwot,https://api.spotify.com/v1/tracks/5yKB8qcTSflDercM2PXwot,https://api.spotify.com/v1/audio-analysis/5yKB8qcTSflDercM2PXwot,234440,4
Taylor Swift,You Are In Love,66,spotify:track:4A2LfnduSTsE8u0ecYROxE,https://open.spotify.com/track/4A2LfnduSTsE8u0ecYROxE,"[{'danceability': 0.474, 'energy': 0.48, 'key': 2, 'loudness': -8.894, 'mode': 1, 'speechiness': 0.0622, 'acousticness': 0.707, 'instrumentalness': 0.000108, 'liveness': 0.0903, 'valence': 0.319, 'tempo': 170.109, 'type': 'audio_features', 'id': '4A2LfnduSTsE8u0ecYROxE', 'uri': 'spotify:track:4A2LfnduSTsE8u0ecYROxE', 'track_href': 'https://api.spotify.com/v1/tracks/4A2LfnduSTsE8u0ecYROxE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4A2LfnduSTsE8u0ecYROxE', 'duration_ms': 267107, 'time_signature': 4}]",0.474,0.48,2,-8.894,1,0.0622,0.707,0.000108,0.0903,0.319,170.109,audio_features,4A2LfnduSTsE8u0ecYROxE,https://api.spotify.com/v1/tracks/4A2LfnduSTsE8u0ecYROxE,https://api.spotify.com/v1/audio-analysis/4A2LfnduSTsE8u0ecYROxE,267107,4
Taylor Swift,White Horse,58,spotify:track:6wn61Fzx9XMxQmieLpoIhW,https://open.spotify.com/track/6wn61Fzx9XMxQmieLpoIhW,"[{'danceability': 0.578, 'energy': 0.34, 'key': 0, 'loudness': -8.027, 'mode': 1, 'speechiness': 0.0264, 'acousticness': 0.305, 'instrumentalness': 0, 'liveness': 0.104, 'valence': 0.223, 'tempo': 92.702, 'type': 'audio_features', 'id': '6wn61Fzx9XMxQmieLpoIhW', 'uri': 'spotify:track:6wn61Fzx9XMxQmieLpoIhW', 'track_href': 'https://api.spotify.com/v1/tracks/6wn61Fzx9XMxQmieLpoIhW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6wn61Fzx9XMxQmieLpoIhW', 'duration_ms': 234427, 'time_signature': 4}]",0.578,0.34,0,-8.027,1,0.0264,0.305,0.0,0.104,0.223,92.702,audio_features,6wn61Fzx9XMxQmieLpoIhW,https://api.spotify.com/v1/tracks/6wn61Fzx9XMxQmieLpoIhW,https://api.spotify.com/v1/audio-analysis/6wn61Fzx9XMxQmieLpoIhW,234427,4
