danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.615,0.779,-6.454,0.135,0.0665,0.0,0.155,0.453,160.0,208198.0,4.0
0.687,0.845,-4.37,0.0576,0.1,0.0,0.0452,0.809,87.972,190227.0,4.0
0.818,0.803,-4.282,0.0797,0.034,0.0,0.153,0.632,106.97,225983.0,4.0
0.624,0.876,-3.374,0.1,0.0735,0.0,0.327,0.781,99.943,170827.0,4.0
0.614,0.379,-10.48,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987.0,4.0
0.768,0.517,-4.323,0.0312,0.186,3.8e-05,0.104,0.418,104.992,216897.0,4.0
0.612,0.28,-8.648,0.0434,0.932,0.0,0.088,0.387,72.795,213827.0,4.0
0.415,0.538,-12.71,0.0368,0.4,0.767,0.0674,0.449,95.121,170240.0,4.0
0.776,0.62,-6.198,0.067,0.341,0.0,0.0978,0.427,100.025,214265.0,4.0
0.781,0.445,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998,281560.0,4.0
0.471,0.924,-3.906,0.0586,0.00301,0.0,0.313,0.725,154.961,177280.0,4.0
0.628,0.676,-5.911,0.0916,0.00957,2.65e-05,0.102,0.75,85.984,191880.0,4.0
0.65,0.802,-6.114,0.181,0.0871,6.54e-06,0.148,0.295,170.146,211933.0,4.0
0.421,0.873,-4.343,0.0564,0.0654,0.0,0.123,0.629,84.786,202533.0,4.0
0.739,0.756,-4.828,0.0394,0.0136,0.0,0.37,0.523,110.028,231387.0,4.0
0.748,0.788,-7.055,0.0334,0.0591,0.0,0.0863,0.884,120.076,235493.0,4.0
0.702,0.795,-4.764,0.0568,0.329,0.0,0.0505,0.836,83.961,247587.0,4.0
0.853,0.56,-4.961,0.0406,0.013,0.0,0.0944,0.86,134.066,206693.0,4.0
0.536,0.768,-5.948,0.0347,0.00433,0.0,0.114,0.545,77.217,228133.0,4.0
0.599,0.667,-4.267,0.0367,0.0533,0.0,0.134,0.817,80.984,288877.0,4.0
0.554,0.666,-7.414,0.0747,0.0702,0.00593,0.106,0.472,140.056,220440.0,4.0
0.799,0.539,-6.351,0.0421,0.199,1.66e-05,0.165,0.394,136.948,202547.0,4.0
0.706,0.8,-6.333,0.0399,0.00584,0.0,0.0822,0.629,100.011,259333.0,4.0
0.778,0.549,-6.144,0.0473,0.0549,0.0,0.0724,0.802,133.041,186040.0,4.0
0.623,0.449,-13.333,0.0253,0.212,0.0,0.0613,0.572,84.383,256000.0,4.0
0.491,0.583,-10.964,0.0376,0.185,0.0,0.406,0.908,150.566,183307.0,4.0
0.668,0.718,-4.736,0.0605,0.0165,0.0,0.104,0.345,91.993,192200.0,4.0
0.675,0.885,-4.432,0.0436,0.217,0.0,0.086,0.768,97.03,216667.0,4.0
0.801,0.795,-5.115,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253.0,4.0
0.748,0.524,-5.599,0.0338,0.414,0.0,0.111,0.661,95.01,244960.0,4.0
0.669,0.832,-5.721,0.0682,0.0106,0.0,0.0968,0.7,113.035,237547.0,4.0
0.758,0.712,-3.781,0.112,0.0185,0.0,0.0677,0.795,149.998,193387.0,4.0
0.856,0.609,-7.223,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,269667.0,4.0
0.753,0.678,-5.421,0.0644,0.085,1.64e-06,0.13,0.583,96.006,231827.0,4.0
0.722,0.758,-4.477,0.0471,0.0111,0.0,0.308,0.62,128.047,201160.0,4.0
0.554,0.772,-4.821,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,223546.0,4.0
0.715,0.951,-6.488,0.132,0.152,0.0,0.302,0.671,126.643,284867.0,4.0
0.687,0.783,-4.44,0.0386,0.162,1.35e-05,0.114,0.443,129.964,231133.0,4.0
0.557,0.728,-6.181,0.0405,0.00156,5.13e-06,0.118,0.216,118.241,301573.0,4.0
0.622,0.469,-6.798,0.0363,0.00454,2.25e-06,0.0398,0.679,77.019,217973.0,4.0
0.774,0.753,-5.446,0.0517,0.152,0.0,0.0371,0.896,119.002,219147.0,4.0
0.783,0.58,-6.548,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400.0,4.0
0.658,0.729,-6.561,0.0378,0.00215,0.0013,0.0752,0.668,104.007,230133.0,4.0
0.791,0.754,-3.729,0.0569,0.00446,0.0,0.163,0.425,125.014,234653.0,4.0
0.793,0.634,-4.807,0.0324,0.038,1.76e-06,0.304,0.615,117.024,212600.0,4.0
0.668,0.672,-4.931,0.0303,0.111,0.0,0.329,0.539,89.011,201107.0,4.0
0.618,0.741,-3.95,0.031,0.17,0.0,0.0822,0.296,118.984,235267.0,4.0
0.841,0.544,-7.347,0.0309,0.194,2.48e-06,0.108,0.831,115.994,254307.0,4.0
0.588,0.791,-5.595,0.0402,0.00245,0.00258,0.118,0.487,94.933,231000.0,4.0
0.647,0.785,-5.414,0.165,0.0561,0.0,0.148,0.943,160.015,219200.0,4.0
0.568,0.761,-3.987,0.0459,0.452,0.0,0.217,0.789,163.974,237733.0,4.0
0.794,0.537,-6.865,0.169,0.079,4.98e-06,0.227,0.418,92.022,209680.0,4.0
0.621,0.417,-6.941,0.0231,0.288,0.0,0.119,0.289,99.953,203040.0,4.0
0.422,0.264,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93,269560.0,4.0
0.479,0.545,-7.346,0.0688,0.365,0.0,0.0963,0.244,74.897,252733.0,4.0
0.479,0.419,-6.517,0.0389,0.568,0.000217,0.11,0.186,85.014,172724.0,4.0
0.642,0.289,-9.918,0.0367,0.669,0.0,0.18,0.407,84.996,258373.0,4.0
0.599,0.667,-4.267,0.0367,0.0533,0.0,0.134,0.817,80.984,288877.0,4.0
0.574,0.512,-6.664,0.0503,0.234,0.0,0.0946,0.512,76.899,484147.0,4.0
0.638,0.826,-4.968,0.0479,0.139,0.0,0.0803,0.649,124.072,227880.0,4.0
0.599,0.448,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05,263400.0,3.0
0.845,0.567,-8.118,0.0956,0.59,0.00142,0.0811,0.793,125.02,205680.0,4.0
0.702,0.635,-6.917,0.265,0.0223,0.0,0.283,0.873,144.004,203760.0,4.0
0.562,0.939,-4.282,0.0475,0.046,0.0,0.112,0.684,116.044,221947.0,4.0
0.596,0.544,-7.294,0.0315,0.397,0.0,0.106,0.393,147.976,224853.0,4.0
0.635,0.903,-3.588,0.0323,0.0472,0.0,0.255,0.559,100.08,182693.0,4.0
0.612,0.841,-3.795,0.0353,0.000907,0.0,0.37,0.499,104.986,227373.0,4.0
0.631,0.658,-5.313,0.0281,0.144,0.0,0.22,0.7,80.996,227573.0,4.0
0.596,0.935,-2.794,0.0855,0.129,0.0,0.108,0.678,130.029,177292.0,4.0
0.661,0.75,-5.497,0.0314,0.0303,0.000132,0.0849,0.828,130.077,157080.0,4.0
0.47,0.852,-5.874,0.0933,0.163,2.04e-06,0.281,0.773,168.063,183200.0,4.0
0.665,0.621,-8.571,0.0524,0.38,0.0,0.119,0.632,147.975,222400.0,4.0
0.846,0.711,-7.939,0.061,0.496,0.0,0.247,0.883,120.013,197840.0,4.0
0.492,0.681,-7.038,0.075,0.143,0.0,0.199,0.511,178.01,212445.0,4.0
0.582,0.568,-6.051,0.0297,0.196,0.0,0.0841,0.64,76.025,207187.0,4.0
0.488,0.637,-7.63,0.0401,0.265,0.0,0.106,0.23,88.872,208653.0,4.0
0.643,0.783,-6.458,0.0856,0.047,0.0,0.083,0.579,154.084,163870.0,4.0
0.442,0.784,-4.001,0.0344,0.0527,0.0,0.0597,0.552,170.139,173187.0,4.0
0.333,0.412,-8.633,0.029,0.0977,0.0,0.113,0.474,85.028,205453.0,4.0
0.612,0.799,-4.603,0.0275,0.00898,0.0,0.172,0.687,125.976,188253.0,4.0
0.553,0.747,-5.432,0.0279,0.106,0.0,0.154,0.521,90.012,234307.0,4.0
0.557,0.807,-5.428,0.0825,0.189,0.0,0.234,0.578,81.045,171493.0,4.0
0.618,0.911,-3.323,0.05,0.216,0.0,0.132,0.501,102.956,200280.0,4.0
0.657,0.695,-4.493,0.0321,0.0108,0.0,0.0822,0.683,65.997,212107.0,4.0
0.727,0.974,-2.261,0.0664,0.103,0.000532,0.174,0.965,79.526,235213.0,4.0
0.583,0.732,-5.728,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,213428.0,4.0
0.664,0.714,-6.645,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,197933.0,4.0
0.53,0.422,-6.262,0.0342,0.407,0.0,0.107,0.349,119.964,221360.0,4.0
0.699,0.529,-7.548,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,206167.0,4.0
0.64,0.533,-6.596,0.0706,0.119,0.0,0.0864,0.515,99.968,220781.0,4.0
0.635,0.691,-4.862,0.258,0.555,0.0,0.097,0.638,82.142,217419.0,4.0
